year,month,period,tendays,Q_cms,era
2007,2,mid,5,5.96,Current
2008,2,mid,5,16.16,Current
2009,2,mid,5,5.46,Current
2010,2,mid,5,8.27,Current
2011,2,mid,5,8.07,Current
2012,2,mid,5,11.69,Current
2013,2,mid,5,1.35,Current
2014,2,mid,5,10.88,Current
2015,2,mid,5,10.48,Current
2016,2,mid,5,19.25,Current
2017,2,mid,5,8.31,Current
2018,2,mid,5,13.86,Current
2019,2,mid,5,10.39,Current
1959,2,late,6,7.7,EIA
1960,2,late,6,9.91,EIA
1961,2,late,6,10.83,EIA
1962,2,late,6,7.26,EIA
1963,2,late,6,7.19,EIA
1964,2,late,6,7.23,EIA
1965,2,late,6,7.6,EIA
1966,2,late,6,6.11,EIA
1967,2,late,6,6.97,EIA
1968,2,late,6,19.2,EIA
1969,2,late,6,5.66,EIA
1970,2,late,6,7.87,EIA
1971,2,late,6,10.56,EIA
1972,2,late,6,10.45,EIA
1973,2,late,6,8.15,EIA
1974,2,late,6,8.4,EIA
1975,2,late,6,9.1,EIA
1976,2,late,6,8.74,EIA
1977,2,late,6,8.94,EIA
1978,2,late,6,14.3,EIA
1979,2,late,6,6.91,EIA
1980,2,late,6,8.55,EIA
1981,2,late,6,8.26,EIA
1982,2,late,6,8.03,EIA
1983,2,late,6,16.64,EIA
1984,2,late,6,7,EIA
1985,2,late,6,15.64,EIA
1986,2,late,6,10.74,EIA
1987,2,late,6,6.75,EIA
1988,2,late,6,8.98,EIA
1989,2,late,6,5.53,EIA
1990,2,late,6,8.55,EIA
1991,2,late,6,6.94,EIA
1992,2,late,6,20.13,EIA
1993,2,late,6,5.3,EIA
1994,2,late,6,13.69,EIA
1995,2,late,6,10.2,EIA
1996,2,late,6,5.61,EIA_Difference
1997,2,late,6,15.49,EIA_Difference
1998,2,late,6,11.48,EIA_Difference
1999,2,late,6,5.4,EIA_Difference
2000,2,late,6,13.6,EIA_Difference
2001,2,late,6,8.93,EIA_Difference
2002,2,late,6,6.19,EIA_Difference
2003,2,late,6,5.12,EIA_Difference
2004,2,late,6,9.93,EIA_Difference
2005,2,late,6,13.62,EIA_Difference
2006,2,late,6,7.87,Current
2007,2,late,6,8.36,Current
2008,2,late,6,15.69,Current
2009,2,late,6,5.28,Current
2010,2,late,6,9.34,Current
2011,2,late,6,8.44,Current
2012,2,late,6,11.97,Current
2013,2,late,6,1.58,Current
2014,2,late,6,10.03,Current
2015,2,late,6,10.83,Current
2016,2,late,6,10.68,Current
2017,2,late,6,8.39,Current
2018,2,late,6,11.51,Current
2019,2,late,6,10.66,Current
1959,3,early,7,8.27,EIA
1960,3,early,7,7.36,EIA
1961,3,early,7,7.76,EIA
1962,3,early,7,7.89,EIA
1963,3,early,7,6.36,EIA
1964,3,early,7,7.42,EIA
1965,3,early,7,9.35,EIA
1966,3,early,7,5.97,EIA
1967,3,early,7,8.25,EIA
1968,3,early,7,17.73,EIA
1969,3,early,7,5.49,EIA
1970,3,early,7,7.78,EIA
1971,3,early,7,11.45,EIA
1972,3,early,7,10.49,EIA
1973,3,early,7,6.46,EIA
1974,3,early,7,5.99,EIA
1975,3,early,7,11.12,EIA
1976,3,early,7,8.89,EIA
1977,3,early,7,8.39,EIA
1978,3,early,7,13.1,EIA
1979,3,early,7,5.75,EIA
1980,3,early,7,8.15,EIA
1981,3,early,7,7.5,EIA
1982,3,early,7,7.69,EIA
1983,3,early,7,18.55,EIA
1984,3,early,7,7.08,EIA
1985,3,early,7,9.65,EIA
1986,3,early,7,9.92,EIA
