year,month,period,tendays,Q_cms,era
2006,9,mid,26,59.61,Current
2007,9,mid,26,29.23,Current
2008,9,mid,26,32.2,Current
2009,9,mid,26,12.13,Current
2010,9,mid,26,36.53,Current
2011,9,mid,26,25.06,Current
2012,9,mid,26,30.82,Current
2013,9,mid,26,2.06,Current
2014,9,mid,26,8.74,Current
2015,9,mid,26,12.95,Current
2016,9,mid,26,109.51,Current
2017,9,mid,26,12.6,Current
2018,9,mid,26,195.27,Current
2019,9,mid,26,21.2,Current
1959,9,late,27,25.26,EIA
1960,9,late,27,55.21,EIA
1961,9,late,27,129.12,EIA
1962,9,late,27,19.6,EIA
1963,9,late,27,20.1,EIA
1964,9,late,27,40.27,EIA
1965,9,late,27,12.04,EIA
1966,9,late,27,25.39,EIA
1967,9,late,27,12.51,EIA
1968,9,late,27,175.4,EIA
1969,9,late,27,56.48,EIA
1970,9,late,27,12.9,EIA
1971,9,late,27,30.47,EIA
1972,9,late,27,11.6,EIA
1973,9,late,27,19.26,EIA
1974,9,late,27,60.9,EIA
1975,9,late,27,72.88,EIA
1976,9,late,27,44.75,EIA
1977,9,late,27,144.74,EIA
1978,9,late,27,19.47,EIA
1979,9,late,27,15.61,EIA
1980,9,late,27,43.21,EIA
1981,9,late,27,102.68,EIA
1982,9,late,27,12.23,EIA
1983,9,late,27,12.35,EIA
1984,9,late,27,36.96,EIA
1985,9,late,27,79.07,EIA
1986,9,late,27,39.96,EIA
1987,9,late,27,23.95,EIA
1988,9,late,27,101.49,EIA
1989,9,late,27,44.06,EIA
1990,9,late,27,29.32,EIA
1991,9,late,27,100.56,EIA
1992,9,late,27,220.79,EIA
1993,9,late,27,37.5,EIA
1994,9,late,27,12.2,EIA
1995,9,late,27,67.78,EIA
1996,9,late,27,13.35,EIA_Difference
1997,9,late,27,11.42,EIA_Difference
1998,9,late,27,13.11,EIA_Difference
1999,9,late,27,21.69,EIA_Difference
2000,9,late,27,13.38,EIA_Difference
2001,9,late,27,245.7,EIA_Difference
2002,9,late,27,10.86,EIA_Difference
2003,9,late,27,49.36,EIA_Difference
2004,9,late,27,14.44,EIA_Difference
2005,9,late,27,169.62,EIA_Difference
2006,9,late,27,29.56,Current
2007,9,late,27,92.44,Current
2008,9,late,27,80.12,Current
2009,9,late,27,17.01,Current
2010,9,late,27,38.82,Current
2011,9,late,27,25.05,Current
2012,9,late,27,30.74,Current
2013,9,late,27,221.82,Current
2014,9,late,27,58.69,Current
2015,9,late,27,19.1,Current
2016,9,late,27,104.23,Current
2017,9,late,27,11.09,Current
2018,9,late,27,71.03,Current
2019,9,late,27,15.3,Current
1959,10,early,28,19.21,EIA
1960,10,early,28,22.25,EIA
1961,10,early,28,66.45,EIA
1962,10,early,28,122.57,EIA
1963,10,early,28,20.39,EIA
1964,10,early,28,43.7,EIA
1965,10,early,28,18.06,EIA
1966,10,early,28,15.2,EIA
1967,10,early,28,12.57,EIA
1968,10,early,28,131.3,EIA
1969,10,early,28,182.35,EIA
1970,10,early,28,56.81,EIA
1971,10,early,28,122.76,EIA
1972,10,early,28,11.64,EIA
1973,10,early,28,126.44,EIA
1974,10,early,28,85.71,EIA
1975,10,early,28,38.87,EIA
1976,10,early,28,26.17,EIA
1977,10,early,28,47.83,EIA
1978,10,early,28,15.98,EIA
1979,10,early,28,12.36,EIA
1980,10,early,28,21.15,EIA
1981,10,early,28,39.46,EIA
1982,10,early,28,9.82,EIA
1983,10,early,28,15.53,EIA
1984,10,early,28,12.04,EIA
1985,10,early,28,70.12,EIA
1986,10,early,28,14.98,EIA
1987,10,early,28,13.04,EIA
1988,10,early,28,45.05,EIA
1989,10,early,28,34.8,EIA
1990,10,early,28,22.98,EIA
1991,10,early,28,91.46,EIA
1992,10,early,28,30.88,EIA
1993,10,early,28,37.12,EIA
1994,10,early,28,10.61,EIA
1995,10,early,28,34.66,EIA
1996,10,early,28,10.29,EIA_Difference
1997,10,early,28,14.09,EIA_Difference
1998,10,early,28,22.83,EIA_Difference
1999,10,early,28,35.59,EIA_Difference
2000,10,early,28,12.06,EIA_Difference
2001,10,early,28,97.86,EIA_Difference
2002,10,early,28,18.12,EIA_Difference
2003,10,early,28,29.45,EIA_Difference
2004,10,early,28,12.96,EIA_Difference
2005,10,early,28,78.67,EIA_Difference
2006,10,early,28,22.59,Current
2007,10,early,28,42.48,Current
2008,10,early,28,24.77,Current
2009,10,early,28,46.15,Current
2010,10,early,28,32.79,Current
2011,10,early,28,154.21,Current
2012,10,early,28,17.16,Current
2013,10,early,28,27.59,Current
2014,10,early,28,22.77,Current
2015,10,early,28,11.44,Current
2016,10,early,28,175.03,Current
2017,10,early,28,35.71,Current
2018,10,early,28,36.82,Current
2019,10,early,28,13.59,Current
1959,10,mid,29,10,EIA
1960,10,mid,29,14.46,EIA
1961,10,mid,29,35.52,EIA
1962,10,mid,29,22.48,EIA
1963,10,mid,29,35.22,EIA
1964,10,mid,29,13.72,EIA
1965,10,mid,29,88.87,EIA
1966,10,mid,29,15.78,EIA
1967,10,mid,29,12.32,EIA
1968,10,mid,29,81.47,EIA
1969,10,mid,29,54.94,EIA
1970,10,mid,29,36.21,EIA
1971,10,mid,29,59.64,EIA
1972,10,mid,29,39.15,EIA
1973,10,mid,29,10.25,EIA
1974,10,mid,29,82.18,EIA
1975,10,mid,29,179.9,EIA
1976,10,mid,29,83.08,EIA
1977,10,mid,29,17.92,EIA
1978,10,mid,29,28.22,EIA
1979,10,mid,29,45.22,EIA
1980,10,mid,29,9.42,EIA
1981,10,mid,29,15.23,EIA
1982,10,mid,29,18.49,EIA
1983,10,mid,29,8.93,EIA
1984,10,mid,29,10,EIA
1985,10,mid,29,8.65,EIA
1986,10,mid,29,20.06,EIA
1987,10,mid,29,12.18,EIA
1988,10,mid,29,10.22,EIA
1989,10,mid,29,41.9,EIA
1990,10,mid,29,16.7,EIA
1991,10,mid,29,22.1,EIA
1992,10,mid,29,19.62,EIA
1993,10,mid,29,19.93,EIA
1994,10,mid,29,22.13,EIA
1995,10,mid,29,10.53,EIA
1996,10,mid,29,25.66,EIA_Difference
1997,10,mid,29,12.81,EIA_Difference
1998,10,mid,29,13.44,EIA_Difference
1999,10,mid,29,212.25,EIA_Difference
2000,10,mid,29,28.39,EIA_Difference
2001,10,mid,29,25.25,EIA_Difference
2002,10,mid,29,43.2,EIA_Difference
2003,10,mid,29,24.62,EIA_Difference
2004,10,mid,29,22.86,EIA_Difference
2005,10,mid,29,43.43,EIA_Difference
2006,10,mid,29,17.67,Current
2007,10,mid,29,32.31,Current
2008,10,mid,29,17.28,Current
2009,10,mid,29,16.2,Current
2010,10,mid,29,51.29,Current
2011,10,mid,29,42.39,Current
2012,10,mid,29,12.64,Current
2013,10,mid,29,20.49,Current
2014,10,mid,29,11.61,Current
2015,10,mid,29,10.03,Current
2016,10,mid,29,75.8,Current
2017,10,mid,29,383.45,Current
2018,10,mid,29,35.18,Current
2019,10,mid,29,11.71,Current
1959,10,late,30,12.06,EIA
1960,10,late,30,21.77,EIA
1961,10,late,30,13.28,EIA
1962,10,late,30,19.89,EIA
1963,10,late,30,10.91,EIA
1964,10,late,30,39.64,EIA
1965,10,late,30,10.93,EIA
1966,10,late,30,10.79,EIA
1967,10,late,30,69.45,EIA
1968,10,late,30,28.91,EIA
1969,10,late,30,19.45,EIA
1970,10,late,30,32.4,EIA
1971,10,late,30,16.51,EIA
1972,10,late,30,9.17,EIA
1973,10,late,30,40.4,EIA
1974,10,late,30,166.27,EIA
1975,10,late,30,69.73,EIA
1976,10,late,30,15.51,EIA
1977,10,late,30,19.76,EIA
1978,10,late,30,35.3,EIA
1979,10,late,30,8.89,EIA
1980,10,late,30,14.65,EIA
1981,10,late,30,14.46,EIA
1982,10,late,30,7.39,EIA
1983,10,late,30,24.45,EIA
1984,10,late,30,83.45,EIA
1985,10,late,30,9.44,EIA
1986,10,late,30,12.02,EIA
1987,10,late,30,119.21,EIA
1988,10,late,30,179.15,EIA
1989,10,late,30,13.35,EIA
1990,10,late,30,16.78,EIA
1991,10,late,30,35.65,EIA
1992,10,late,30,15.07,EIA
1993,10,late,30,10.81,EIA
1994,10,late,30,9.96,EIA
1995,10,late,30,14.01,EIA
1996,10,late,30,9.62,EIA_Difference
1997,10,late,30,11.36,EIA_Difference
1998,10,late,30,220.75,EIA_Difference
1999,10,late,30,11.34,EIA_Difference
2000,10,late,30,94.51,EIA_Difference
2001,10,late,30,20.15,EIA_Difference
2002,10,late,30,12.3,EIA_Difference
2003,10,late,30,15.66,EIA_Difference
2004,10,late,30,12.38,EIA_Difference
2005,10,late,30,24.9,EIA_Difference
2006,10,late,30,9.81,Current
2007,10,late,30,18.78,Current
2008,10,late,30,16.07,Current
2009,10,late,30,9.73,Current
2010,10,late,30,57.79,Current
2011,10,late,30,24.93,Current
2012,10,late,30,11.39,Current
2013,10,late,30,8.9,Current
2014,10,late,30,11.98,Current
2015,10,late,30,11.68,Current
2016,10,late,30,75.9,Current
2017,10,late,30,59.3,Current
2018,10,late,30,22.54,Current
2019,10,late,30,9,Current
1959,11,early,31,9.6,EIA
1960,11,early,31,18.59,EIA
1961,11,early,31,10.34,EIA
1962,11,early,31,15.04,EIA
1963,11,early,31,9.64,EIA
1964,11,early,31,26.1,EIA
1965,11,early,31,11.15,EIA
1966,11,early,31,8.57,EIA
1967,11,early,31,42.38,EIA
1968,11,early,31,18.56,EIA
1969,11,early,31,14.09,EIA
1970,11,early,31,20.8,EIA
1971,11,early,31,19.21,EIA
1972,11,early,31,10.02,EIA
1973,11,early,31,24.2,EIA
1974,11,early,31,240.8,EIA
1975,11,early,31,30.55,EIA
1976,11,early,31,13,EIA
1977,11,early,31,21.98,EIA
1978,11,early,31,23.41,EIA
1979,11,early,31,8.38,EIA
1980,11,early,31,14.38,EIA
1981,11,early,31,13.68,EIA
1982,11,early,31,8.23,EIA
1983,11,early,31,24.16,EIA
1984,11,early,31,51.21,EIA
1985,11,early,31,7.89,EIA
1986,11,early,31,10.66,EIA
1987,11,early,31,28.05,EIA
1988,11,early,31,13.3,EIA
1989,11,early,31,11.48,EIA
1990,11,early,31,12.96,EIA
1991,11,early,31,30.98,EIA
1992,11,early,31,10.8,EIA
1993,11,early,31,11,EIA
1994,11,early,31,7.04,EIA
1995,11,early,31,21.22,EIA
1996,11,early,31,89.19,EIA_Difference
1997,11,early,31,8.85,EIA_Difference
1998,11,early,31,33.08,EIA_Difference
1999,11,early,31,14.04,EIA_Difference
2000,11,early,31,114.14,EIA_Difference
2001,11,early,31,15.47,EIA_Difference
2002,11,early,31,13.82,EIA_Difference
2003,11,early,31,34.34,EIA_Difference
2004,11,early,31,12.46,EIA_Difference
2005,11,early,31,22.03,EIA_Difference
2006,11,early,31,10.21,Current
2007,11,early,31,26.95,Current
2008,11,early,31,14.4,Current
2009,11,early,31,9.57,Current
2010,11,early,31,28.81,Current
2011,11,early,31,27.95,Current
2012,11,early,31,12.46,Current
2013,11,early,31,10.91,Current
2014,11,early,31,10.98,Current
2015,11,early,31,26.6,Current
2016,11,early,31,27.33,Current
2017,11,early,31,12.06,Current
2018,11,early,31,59.01,Current
2019,11,early,31,12.48,Current
1959,11,mid,32,11,EIA
1960,11,mid,32,46.74,EIA
1961,11,mid,32,11.82,EIA
1962,11,mid,32,9.44,EIA
1963,11,mid,32,14.15,EIA
1964,11,mid,32,9.29,EIA
1965,11,mid,32,22.13,EIA
1966,11,mid,32,29,EIA
1967,11,mid,32,9.08,EIA
1968,11,mid,32,68.85,EIA
1969,11,mid,32,14.74,EIA
1970,11,mid,32,12.11,EIA
1971,11,mid,32,17.06,EIA
1972,11,mid,32,17.6,EIA
1973,11,mid,32,10.88,EIA
1974,11,mid,32,21.07,EIA
1975,11,mid,32,135.23,EIA
1976,11,mid,32,19.28,EIA
1977,11,mid,32,13.87,EIA
1978,11,mid,32,44.54,EIA
1979,11,mid,32,21.54,EIA
1980,11,mid,32,13.64,EIA
1981,11,mid,32,13.34,EIA
1982,11,mid,32,11.46,EIA
1983,11,mid,32,8.08,EIA
1984,11,mid,32,11,EIA
1985,11,mid,32,16.31,EIA
1986,11,mid,32,7.64,EIA
1987,11,mid,32,25.02,EIA
1988,11,mid,32,22.53,EIA
1989,11,mid,32,21.9,EIA
1990,11,mid,32,11.12,EIA
1991,11,mid,32,11.42,EIA
1992,11,mid,32,15.73,EIA
1993,11,mid,32,15.07,EIA
1994,11,mid,32,8.8,EIA
1995,11,mid,32,5.04,EIA
1996,11,mid,32,12.52,EIA_Difference
1997,11,mid,32,67.36,EIA_Difference
1998,11,mid,32,6.54,EIA_Difference
1999,11,mid,32,16.05,EIA_Difference
2000,11,mid,32,13.58,EIA_Difference
2001,11,mid,32,31.5,EIA_Difference
2002,11,mid,32,14.15,EIA_Difference
2003,11,mid,32,7.65,EIA_Difference
2004,11,mid,32,47.76,EIA_Difference
2005,11,mid,32,15.5,EIA_Difference
2006,11,mid,32,8.38,Current
2007,11,mid,32,22.42,Current
2008,11,mid,32,10.47,Current
2009,11,mid,32,9.3,Current
2010,11,mid,32,25.16,Current
2011,11,mid,32,60.89,Current
2012,11,mid,32,14.18,Current
2013,11,mid,32,3.95,Current
2014,11,mid,32,11.25,Current
2015,11,mid,32,15.61,Current
2016,11,mid,32,18.21,Current
2017,11,mid,32,50.65,Current
2018,11,mid,32,20.47,Current
2019,11,mid,32,8.27,Current
1959,11,late,33,38.59,EIA
1960,11,late,33,11.03,EIA
1961,11,late,33,10.35,EIA
1962,11,late,33,12.32,EIA
1963,11,late,33,8.89,EIA
1964,11,late,33,15.75,EIA
1965,11,late,33,20.63,EIA
1966,11,late,33,10.43,EIA
1967,11,late,33,41.69,EIA
1968,11,late,33,10.82,EIA
1969,11,late,33,14.13,EIA
1970,11,late,33,15.52,EIA
1971,11,late,33,15.32,EIA
1972,11,late,33,11.64,EIA
1973,11,late,33,16.34,EIA
1974,11,late,33,44.47,EIA
1975,11,late,33,16.03,EIA
1976,11,late,33,12.44,EIA
1977,11,late,33,26.32,EIA
1978,11,late,33,21.19,EIA
1979,11,late,33,11.82,EIA
1980,11,late,33,15.65,EIA
1981,11,late,33,13.13,EIA
1982,11,late,33,6.83,EIA
1983,11,late,33,11.11,EIA
1984,11,late,33,7.51,EIA
1985,11,late,33,8.01,EIA
1986,11,late,33,27.68,EIA
1987,11,late,33,17.78,EIA
1988,11,late,33,17.38,EIA
1989,11,late,33,11.36,EIA
1990,11,late,33,8.91,EIA
1991,11,late,33,15.07,EIA
1992,11,late,33,14.78,EIA
1993,11,late,33,11.51,EIA
1994,11,late,33,6.16,EIA
1995,11,late,33,11.4,EIA
1996,11,late,33,31.21,EIA_Difference
1997,11,late,33,8.15,EIA_Difference
1998,11,late,33,18.55,EIA_Difference
1999,11,late,33,12.52,EIA_Difference
2000,11,late,33,18.93,EIA_Difference
2001,11,late,33,11.4,EIA_Difference
2002,11,late,33,7.49,EIA_Difference
2003,11,late,33,20.27,EIA_Difference
2004,11,late,33,10.08,EIA_Difference
2005,11,late,33,14.95,EIA_Difference
2006,11,late,33,8.52,Current
2007,11,late,33,107.21,Current
2008,11,late,33,14.79,Current
2009,11,late,33,8.75,Current
2010,11,late,33,18.22,Current
2011,11,late,33,31.22,Current
2012,11,late,33,13.4,Current
2013,11,late,33,3.77,Current
2014,11,late,33,26.39,Current
2015,11,late,33,25.85,Current
2016,11,late,33,23.88,Current
2017,11,late,33,31.76,Current
2018,11,late,33,16.25,Current
2019,11,late,33,7.25,Current
1959,12,early,34,18.54,EIA
1960,12,early,34,10.49,EIA
1961,12,early,34,10.17,EIA
1962,12,early,34,10.88,EIA
1963,12,early,34,13.08,EIA
1964,12,early,34,13.62,EIA
1965,12,early,34,14.76,EIA
1966,12,early,34,10.87,EIA
1967,12,early,34,24.02,EIA
1968,12,early,34,9.73,EIA
1969,12,early,34,11.68,EIA
1970,12,early,34,15.46,EIA
1971,12,early,34,18.48,EIA
1972,12,early,34,9.69,EIA
1973,12,early,34,9.04,EIA
1974,12,early,34,33.68,EIA
1975,12,early,34,12.29,EIA
1976,12,early,34,10.38,EIA
1977,12,early,34,15.67,EIA
1978,12,early,34,15.01,EIA
1979,12,early,34,8.9,EIA
1980,12,early,34,9.5,EIA
1981,12,early,34,12.45,EIA
1982,12,early,34,6.83,EIA
1983,12,early,34,8.87,EIA
1984,12,early,34,5.88,EIA
1985,12,early,34,5.92,EIA
1986,12,early,34,16.51,EIA
1987,12,early,34,14.62,EIA
1988,12,early,34,12.88,EIA
1989,12,early,34,10.82,EIA
1990,12,early,34,8.92,EIA
1991,12,early,34,12.08,EIA
1992,12,early,34,10,EIA
1993,12,early,34,11.43,EIA
1994,12,early,34,6.8,EIA
1995,12,early,34,9.06,EIA
1996,12,early,34,15.96,EIA_Difference
1997,12,early,34,8.36,EIA_Difference
1998,12,early,34,14.61,EIA_Difference
1999,12,early,34,12.82,EIA_Difference
2000,12,early,34,18.93,EIA_Difference
2001,12,early,34,13.97,EIA_Difference
2002,12,early,34,9.84,EIA_Difference
2003,12,early,34,30.79,EIA_Difference
2004,12,early,34,192.06,EIA_Difference
2005,12,early,34,14.54,EIA_Difference
2006,12,early,34,11.2,Current
2007,12,early,34,46.16,Current
2008,12,early,34,14.33,Current
2009,12,early,34,8.38,Current
2010,12,early,34,12.56,Current
2011,12,early,34,24.63,Current
2012,12,early,34,19.26,Current
2013,12,early,34,1.88,Current
2014,12,early,34,10.76,Current
2015,12,early,34,10.75,Current
2016,12,early,34,27.54,Current
2017,12,early,34,26.33,Current
2018,12,early,34,8.85,Current
2019,12,early,34,12.9,Current
1959,12,mid,35,12,EIA
1960,12,mid,35,15.55,EIA
1961,12,mid,35,9.3,EIA
1962,12,mid,35,8.61,EIA
1963,12,mid,35,9.39,EIA
1964,12,mid,35,14.52,EIA
1965,12,mid,35,12.85,EIA
1966,12,mid,35,12.72,EIA
1967,12,mid,35,8.96,EIA
1968,12,mid,35,19.69,EIA
1969,12,mid,35,9.5,EIA
1970,12,mid,35,10.79,EIA
1971,12,mid,35,15,EIA
1972,12,mid,35,14.28,EIA
1973,12,mid,35,7.71,EIA
1974,12,mid,35,9.01,EIA
1975,12,mid,35,29.52,EIA
1976,12,mid,35,18.24,EIA
1977,12,mid,35,8.03,EIA
1978,12,mid,35,15.92,EIA
1979,12,mid,35,13.24,EIA
1980,12,mid,35,9.01,EIA
1981,12,mid,35,7.29,EIA
1982,12,mid,35,9.92,EIA
1983,12,mid,35,6.67,EIA
1984,12,mid,35,12,EIA
1985,12,mid,35,5.49,EIA
1986,12,mid,35,5.89,EIA
1987,12,mid,35,12.7,EIA
1988,12,mid,35,13.25,EIA
1989,12,mid,35,9.63,EIA
1990,12,mid,35,9.68,EIA
1991,12,mid,35,7.98,EIA
1992,12,mid,35,11.56,EIA
1993,12,mid,35,8.48,EIA
1994,12,mid,35,9.52,EIA
1995,12,mid,35,7.77,EIA
1996,12,mid,35,7.65,EIA_Difference
1997,12,mid,35,11.48,EIA_Difference
1998,12,mid,35,5.6,EIA_Difference
1999,12,mid,35,11.41,EIA_Difference
2000,12,mid,35,14.02,EIA_Difference
2001,12,mid,35,17.73,EIA_Difference
2002,12,mid,35,13.93,EIA_Difference
2003,12,mid,35,9.16,EIA_Difference
2004,12,mid,35,31.92,EIA_Difference
2005,12,mid,35,14.84,EIA_Difference
2006,12,mid,35,10.55,Current
2007,12,mid,35,26.47,Current
2008,12,mid,35,11.02,Current
2009,12,mid,35,8.18,Current
2010,12,mid,35,12.6,Current
2011,12,mid,35,22.48,Current
2012,12,mid,35,15.93,Current
2013,12,mid,35,5.2,Current
2014,12,mid,35,10.92,Current
2015,12,mid,35,13.47,Current
2016,12,mid,35,20.27,Current
2017,12,mid,35,20.92,Current
2018,12,mid,35,9.5,Current
2019,12,mid,35,10.21,Current
1959,12,late,36,14.44,EIA
1960,12,late,36,8.97,EIA
1961,12,late,36,8.87,EIA
1962,12,late,36,7.95,EIA
1963,12,late,36,11.78,EIA
1964,12,late,36,10.96,EIA
1965,12,late,36,10.46,EIA
1966,12,late,36,9.23,EIA
1967,12,late,36,15.04,EIA
1968,12,late,36,8.56,EIA
1969,12,late,36,10.05,EIA
1970,12,late,36,13.92,EIA
1971,12,late,36,12.96,EIA
1972,12,late,36,8.74,EIA
1973,12,late,36,10.1,EIA
1974,12,late,36,27.01,EIA
1975,12,late,36,16.14,EIA
1976,12,late,36,6.65,EIA
1977,12,late,36,14.45,EIA
1978,12,late,36,12.15,EIA
1979,12,late,36,8.29,EIA
1980,12,late,36,7.95,EIA
1981,12,late,36,9.19,EIA
1982,12,late,36,7.27,EIA
1983,12,late,36,6.67,EIA
1984,12,late,36,5.59,EIA
1985,12,late,36,5.25,EIA
1986,12,late,36,11.2,EIA
1987,12,late,36,9.53,EIA
1988,12,late,36,6.69,EIA
1989,12,late,36,13.89,EIA
1990,12,late,36,7.57,EIA
1991,12,late,36,13.03,EIA
1992,12,late,36,7.56,EIA
1993,12,late,36,8.29,EIA
1994,12,late,36,9.16,EIA
1995,12,late,36,7.91,EIA
1996,12,late,36,11.11,EIA_Difference
1997,12,late,36,6.15,EIA_Difference
1998,12,late,36,16.75,EIA_Difference
1999,12,late,36,10.72,EIA_Difference
2000,12,late,36,11.7,EIA_Difference
2001,12,late,36,10.6,EIA_Difference
2002,12,late,36,11.42,EIA_Difference
2003,12,late,36,28.15,EIA_Difference
2004,12,late,36,15.65,EIA_Difference
2005,12,late,36,11.82,EIA_Difference
2006,12,late,36,7.23,Current
2007,12,late,36,18.37,Current
2008,12,late,36,7.87,Current
2009,12,late,36,8.73,Current
2010,12,late,36,12.34,Current
2011,12,late,36,16.18,Current
2012,12,late,36,13.2,Current
2013,12,late,36,2.11,Current
2014,12,late,36,10.67,Current
2015,12,late,36,9.84,Current
2016,12,late,36,24.36,Current
2017,12,late,36,20.36,Current
2018,12,late,36,11.56,Current
2019,12,late,36,10.61,Current
